7.;Barcelona - Real Sociedad;1;;
8.;Valencia - R. Oviedo;1;;
9.;Eibar - Deportivo;X;;
10.;Racing Santander - Andorra;2;;
11.;Las Palmas - Almería;2;;
12.;Burgos - Málaga;1;;
13.;Cádiz - Ceuta;X;;
14.;Sporting - Albacete;2;;
P-15;At. Madrid - Real Madrid;M-2;;
;;;;
Jornada 7ª;;;;
domingo - 21/09/2025;;;;
+ Info ;;;;
1.;Alavés - Sevilla;2;;
2.;Barcelona - Getafe;1;;
3.;Betis - Real Sociedad;1;;
4.;Elche - R. Oviedo;1;;
5.;Girona - Levante;2;;
6.;Mallorca - At. Madrid;X;;
7.;Rayo Vallecano - Celta;X;;
8.;Real Madrid - Espanyol;1;;
9.;Villarreal - Osasuna;1;;
10.;Albacete - Valladolid;1;;
11.;Córdoba - Racing De Santander;X;;
12.;Deportivo - Huesca;1;;
13.;Almería - Sporting;1;;
14.;Málaga - Cádiz;2;;
P-15;Valencia - Athletic Club;2-0;;
;;;;
Jornada 5ª;;;;
domingo - 14/09/2025;;;;
+ Info ;;;;
1.;Getafe - R. Oviedo;1;;
2.;Levante - Betis;X;;
3.;At. Madrid - Villarreal;1;;
4.;Barcelona - Valencia;1;;
5.;Athletic Club - Alavés;2;;
6.;Real Sociedad - Real Madrid;2;;
7.;Celta - Girona;X;;
8.;Osasuna - Rayo Vallecano;1;;
9.;Cádiz - Eibar;1;;
10.;Mirandés - Deportivo;2;;
11.;Huesca - Málaga;1;;
12.;Valladolid - Almería;1;;
13.;Sporting - Burgos;2;;
14.;Granada - Leganés;2;;
P-15;Espanyol - Mallorca;M-2;;
;;;;
Jornada 3ª;;;;
domingo - 31/08/2025;;;;
+ Info ;;;;
1.;Alavés - At. Madrid;X;;
2.;R. Oviedo - Real Sociedad;1;;
3.;Girona - Sevilla;2;;
4.;Real Madrid - Mallorca;1;;
5.;Celta - Villarreal;X;;
6.;Betis - Athletic Club;2;;
7.;Espanyol - Osasuna;1;;
8.;Racing Santander - Ceuta;1;;
9.;Valladolid - Córdoba;X;;
10.;Castellón - Zaragoza;X;;
